"","Consumer_Class","Consumer_Order","Consumer_Family","Consumer_Genus","Consumer_Species","Resource_Class","Resource_Order","Resource_Family","Resource_Genus","Resource_Species"
"1","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"2","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"3","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"4","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"5","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"6","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
"7","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia"
"8","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus squamulatus"
"9","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Gekkonidae","Homopholis","Homopholis fasciata"
"10","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus capensis"
"11","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus manni"
"12","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Lacertidae","Heliobolus","Heliobolus spekii"
"13","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Lacertidae","Nucras","Nucras boulengeri"
"14","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Scincidae","Eumecia","Eumecia anchietae"
"15","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Scincidae","Mochlus","Mochlus sundevallii"
"16","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis striata"
"17","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus poliocephalus","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis varia"
"18","Aves","Columbiformes","Columbidae","Spilopelia","Spilopelia senegalensis","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"19","Aves","Columbiformes","Columbidae","Spilopelia","Spilopelia senegalensis","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"20","Aves","Columbiformes","Columbidae","Spilopelia","Spilopelia senegalensis","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"21","Aves","Columbiformes","Columbidae","Spilopelia","Spilopelia senegalensis","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
