"","species","role","predicted","targetFW","sourceFW"
"1","Anthus rubescens","indegree",0.1,"Arctic","Arctic"
"2","Anthus rubescens","outdegree",7.15,"Arctic","Arctic"
"3","Anthus rubescens","betweeness",0.367539682539682,"Arctic","Arctic"
"4","Anthus rubescens","closeness",0.82420917244763,"Arctic","Arctic"
"5","Anthus rubescens","eigen",0.358064919687746,"Arctic","Arctic"
"6","Anthus rubescens","TL",1.19762295550735,"Arctic","Arctic"
"7","Anthus rubescens","OI",0.0265024180232179,"Arctic","Arctic"
"8","Anthus rubescens","within_module_degree",-0.806797349660892,"Arctic","Arctic"
"9","Anthus rubescens","among_module_conn",0.554749149659864,"Arctic","Arctic"
"10","Anthus rubescens","position1",0,"Arctic","Arctic"
"11","Anthus rubescens","position2",0.08,"Arctic","Arctic"
"12","Anthus rubescens","position3",0.57,"Arctic","Arctic"
"13","Anthus rubescens","position4",0.01,"Arctic","Arctic"
"14","Anthus rubescens","position5",11,"Arctic","Arctic"
"15","Anthus rubescens","position6",0.45,"Arctic","Arctic"
"16","Anthus rubescens","position7",0.01,"Arctic","Arctic"
"17","Anthus rubescens","position8",0.21,"Arctic","Arctic"
"18","Anthus rubescens","position9",2.94,"Arctic","Arctic"
"19","Anthus rubescens","position10",75.63,"Arctic","Arctic"
"20","Anthus rubescens","position11",0,"Arctic","Arctic"
"21","Anthus rubescens","position12",0.02,"Arctic","Arctic"
"22","Anthus rubescens","position13",8.28,"Arctic","Arctic"
"23","Anthus rubescens","position14",0,"Arctic","Arctic"
"24","Anthus rubescens","position15",0,"Arctic","Arctic"
"25","Anthus rubescens","position16",0.2,"Arctic","Arctic"
"26","Anthus rubescens","position17",2.36,"Arctic","Arctic"
"27","Anthus rubescens","position18",0,"Arctic","Arctic"
"28","Anthus rubescens","position19",0,"Arctic","Arctic"
"29","Anthus rubescens","position20",0.03,"Arctic","Arctic"
"30","Anthus rubescens","position21",0,"Arctic","Arctic"
"31","Anthus rubescens","position22",0,"Arctic","Arctic"
"32","Anthus rubescens","position23",0.03,"Arctic","Arctic"
"33","Anthus rubescens","position24",0.04,"Arctic","Arctic"
"34","Anthus rubescens","position25",0,"Arctic","Arctic"
"35","Anthus rubescens","position26",0,"Arctic","Arctic"
"36","Anthus rubescens","position27",0,"Arctic","Arctic"
"37","Anthus rubescens","position28",0.08,"Arctic","Arctic"
"38","Anthus rubescens","position29",0.04,"Arctic","Arctic"
"39","Anthus rubescens","position30",0,"Arctic","Arctic"
"40","Bubo scandiacus","indegree",20.81,"Arctic","Arctic"
"41","Bubo scandiacus","outdegree",5.12,"Arctic","Arctic"
"42","Bubo scandiacus","betweeness",9.11844444444444,"Arctic","Arctic"
"43","Bubo scandiacus","closeness",0.665796073090674,"Arctic","Arctic"
"44","Bubo scandiacus","eigen",0.952388688061854,"Arctic","Arctic"
"45","Bubo scandiacus","TL",2.82860975423033,"Arctic","Arctic"
"46","Bubo scandiacus","OI",0.896914332572881,"Arctic","Arctic"
"47","Bubo scandiacus","within_module_degree",1.52165189276986,"Arctic","Arctic"
"48","Bubo scandiacus","among_module_conn",0.591903623108614,"Arctic","Arctic"
"49","Bubo scandiacus","position1",0.06,"Arctic","Arctic"
"50","Bubo scandiacus","position2",0,"Arctic","Arctic"
"51","Bubo scandiacus","position3",0,"Arctic","Arctic"
"52","Bubo scandiacus","position4",33.88,"Arctic","Arctic"
"53","Bubo scandiacus","position5",0,"Arctic","Arctic"
"54","Bubo scandiacus","position6",1.07,"Arctic","Arctic"
"55","Bubo scandiacus","position7",0.01,"Arctic","Arctic"
"56","Bubo scandiacus","position8",0.56,"Arctic","Arctic"
"57","Bubo scandiacus","position9",0,"Arctic","Arctic"
"58","Bubo scandiacus","position10",0.07,"Arctic","Arctic"
"59","Bubo scandiacus","position11",83.03,"Arctic","Arctic"
"60","Bubo scandiacus","position12",49.32,"Arctic","Arctic"
"61","Bubo scandiacus","position13",0,"Arctic","Arctic"
"62","Bubo scandiacus","position14",0.04,"Arctic","Arctic"
"63","Bubo scandiacus","position15",0.45,"Arctic","Arctic"
"64","Bubo scandiacus","position16",0.08,"Arctic","Arctic"
"65","Bubo scandiacus","position17",0.01,"Arctic","Arctic"
"66","Bubo scandiacus","position18",8.47,"Arctic","Arctic"
"67","Bubo scandiacus","position19",0.03,"Arctic","Arctic"
"68","Bubo scandiacus","position20",0.02,"Arctic","Arctic"
"69","Bubo scandiacus","position21",0,"Arctic","Arctic"
"70","Bubo scandiacus","position22",1.54,"Arctic","Arctic"
"71","Bubo scandiacus","position23",0.09,"Arctic","Arctic"
"72","Bubo scandiacus","position24",0.02,"Arctic","Arctic"
"73","Bubo scandiacus","position25",2.83,"Arctic","Arctic"
"74","Bubo scandiacus","position26",3.24,"Arctic","Arctic"
"75","Bubo scandiacus","position27",3.18,"Arctic","Arctic"
"76","Bubo scandiacus","position28",0.18,"Arctic","Arctic"
"77","Bubo scandiacus","position29",0.05,"Arctic","Arctic"
"78","Bubo scandiacus","position30",1.06,"Arctic","Arctic"
"79","Buteo lagopus","indegree",7.33,"Arctic","Arctic"
"80","Buteo lagopus","outdegree",4.76,"Arctic","Arctic"
"81","Buteo lagopus","betweeness",0.631892857142857,"Arctic","Arctic"
"82","Buteo lagopus","closeness",0.686585829688471,"Arctic","Arctic"
"83","Buteo lagopus","eigen",0.464497123433737,"Arctic","Arctic"
"84","Buteo lagopus","TL",2.49130658449212,"Arctic","Arctic"
"85","Buteo lagopus","OI",0.527353044810448,"Arctic","Arctic"
"86","Buteo lagopus","within_module_degree",0.152573079212727,"Arctic","Arctic"
"87","Buteo lagopus","among_module_conn",0.576480029520556,"Arctic","Arctic"
"88","Buteo lagopus","position1",1.22,"Arctic","Arctic"
