"","metric","predicted","targetFW","sourceFW"
"1","connectance",0.130176,"arctic","arctic"
"2","meanTL",30.7379891170471,"arctic","arctic"
"3","maxTL",34.3201636954768,"arctic","arctic"
"4","motif1",56554.26,"arctic","arctic"
"5","motif2",20325.58,"arctic","arctic"
"6","motif3",1615.24,"arctic","arctic"
"7","motif4",32747.09,"arctic","arctic"
"8","motif5",75611.87,"arctic","arctic"
"9","motif6",3097.68,"arctic","arctic"
"10","motif7",1113.37,"arctic","arctic"
"11","motif8",16970.28,"arctic","arctic"
"12","motif9",5791.04,"arctic","arctic"
"13","motif10",1876.8,"arctic","arctic"
"14","motif11",50.49,"arctic","arctic"
"15","motif12",740.12,"arctic","arctic"
"16","motif13",932.06,"arctic","arctic"
"17","diameter",5.69,"arctic","arctic"
"18","n_clusters",4.36,"arctic","arctic"
"19","modularity",0.127340878207137,"arctic","arctic"
"20","connectance",0.161509186013554,"pyrenees","arctic"
"21","meanTL",40.5737256047891,"pyrenees","arctic"
"22","maxTL",43.7730546799058,"pyrenees","arctic"
"23","motif1",72364.07,"pyrenees","arctic"
"24","motif2",30465.38,"pyrenees","arctic"
"25","motif3",2668.49,"pyrenees","arctic"
"26","motif4",41757.83,"pyrenees","arctic"
"27","motif5",91373.64,"pyrenees","arctic"
"28","motif6",5442.64,"pyrenees","arctic"
"29","motif7",2009,"pyrenees","arctic"
"30","motif8",25363.3,"pyrenees","arctic"
"31","motif9",9211.68,"pyrenees","arctic"
"32","motif10",3485.64,"pyrenees","arctic"
"33","motif11",122.68,"pyrenees","arctic"
"34","motif12",1582.16,"pyrenees","arctic"
"35","motif13",1736.38,"pyrenees","arctic"
"36","diameter",5.03,"pyrenees","arctic"
"37","n_clusters",4.35,"pyrenees","arctic"
"38","modularity",0.110824955005346,"pyrenees","arctic"
"39","connectance",0.148261694186377,"serengeti","arctic"
"40","meanTL",45.2231460540266,"serengeti","arctic"
"41","maxTL",48.7023336146206,"serengeti","arctic"
"42","motif1",266031.01,"serengeti","arctic"
"43","motif2",103550.06,"serengeti","arctic"
"44","motif3",9253.25,"serengeti","arctic"
"45","motif4",144140.56,"serengeti","arctic"
"46","motif5",329277.74,"serengeti","arctic"
"47","motif6",18684.36,"serengeti","arctic"
"48","motif7",7581.08,"serengeti","arctic"
"49","motif8",93104.36,"serengeti","arctic"
"50","motif9",35006.16,"serengeti","arctic"
"51","motif10",12461,"serengeti","arctic"
"52","motif11",467.2,"serengeti","arctic"
"53","motif12",5825.3,"serengeti","arctic"
"54","motif13",6495.89,"serengeti","arctic"
"55","diameter",5.18,"serengeti","arctic"
"56","n_clusters",4.19,"serengeti","arctic"
"57","modularity",0.121216299184615,"serengeti","arctic"
